State (Emission order)	H3k09me3	H3k36me3	H3k79me2	H3k04me1	H3k04me2	H3k09ac	H3k27ac	H3k04me3	H2azDex100	H3k27me3
1	0.01409258710985161	3.3935734240007524E-4	8.169157747530777E-5	0.0024270756507287724	0.002517746213993883	3.5150211957201736E-5	1.0908666855432847E-4	1.0560406638948137E-4	0.010514865621217987	0.3952618817895418
2	0.00834681435575016	9.398463956100204E-4	2.0264702784408308E-4	6.456709171168831E-4	6.371927586023996E-5	2.053878529860575E-5	7.934655534444877E-5	2.4243086592427752E-5	0.0064270175360745035	0.004801332543438081
3	0.49343108658816454	0.08171222651349257	0.0037704860085676947	0.0026880840678255693	2.3185342253929732E-4	3.8100259063311845E-4	2.1228823650866718E-4	0.0026116999338227902	0.011688069671522508	0.007571820931771705
4	0.0034759568937364495	0.21516718403201732	0.03946763968080653	0.016987044649883192	1.0547069759040977E-4	3.8237438599975483E-4	8.005616722417557E-4	1.8478180875348548E-5	3.2880019753862334E-5	3.403667624491497E-5
5	0.04432892608199694	0.2352898037131167	0.689984798147438	0.0599098436921136	9.246532905578067E-4	5.49266006724243E-4	9.664928409047068E-4	3.02640376322296E-4	4.037616990931445E-5	7.469443447649409E-5
6	0.01310099802657434	0.26680476390514424	0.7697962137396469	0.8303071600690368	0.27415551907753893	0.1067949330522342	0.09697493962735522	0.03133475213540765	0.0014216095698071864	1.3292207033193055E-4
7	0.011803419875279313	0.009587453691395223	0.004433099361790625	0.4996724416027841	0.07729668885273837	0.017004075561332065	0.01978934401161647	0.0013908169674747143	0.18183526396828384	0.002629244393119955
8	0.02085180984911003	0.012876110724302593	0.00856962042643478	0.7268629954826804	0.7988642502624901	0.4004764685486262	0.33040948823904664	0.34567896600190795	0.538593783217775	0.06835249773998073
9	0.0040803547591948975	0.003505069752997944	0.2085965148745289	0.3716746069838992	0.8995457030647341	0.9897565834398973	0.9912094340884904	0.9900080054049495	0.8740555771013393	0.014304834907858248
10	0.008369714101806595	0.23412464173316658	0.906138289319628	0.7513172756280991	0.9782833099298616	0.9025564331295085	0.8200035151659328	0.7985990412254834	0.049892974516373256	1.0004911180438433E-4
