State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.25968	1.28186	1.28974	1.26970	1.24358	1.17740	1.08724	0.98027	0.87366	0.80783	0.77670	0.77420	0.83073	0.89977	0.98814	1.07615	1.13733	1.16917	1.19350	1.18885	1.18491
2	0.74421	0.72455	0.69646	0.65763	0.60531	0.54188	0.47262	0.41164	0.37247	0.35308	0.34476	0.34756	0.36088	0.37880	0.40156	0.42772	0.45961	0.48762	0.50951	0.52606	0.54218
3	0.87638	0.85363	0.84274	0.81802	0.77746	0.71910	0.65580	0.55985	0.49655	0.48567	0.49556	0.48072	0.48567	0.50248	0.54106	0.57469	0.59843	0.63008	0.64690	0.67756	0.69437
4	0.87482	0.81407	0.74791	0.67636	0.59851	0.54676	0.50356	0.46306	0.43291	0.42121	0.41896	0.42706	0.44191	0.45406	0.47251	0.52201	0.60301	0.73621	0.89102	1.07012	1.20557
5	1.26367	1.07477	0.87791	0.68901	0.56473	0.49712	0.45437	0.44144	0.43050	0.44144	0.43647	0.44840	0.46232	0.48320	0.50805	0.54186	0.67608	1.10957	1.71506	2.38418	3.08611
6	2.84659	2.75787	2.46637	2.02278	1.64763	1.15841	1.00125	0.82128	0.79086	0.74016	0.78579	0.77312	0.77819	0.86437	0.97083	1.40175	2.85673	4.66405	6.21789	6.92257	7.01382
7	2.53304	2.67916	2.83989	3.11229	3.29181	3.21875	2.78979	2.20428	1.67826	1.72835	1.62920	1.30670	1.17729	1.23678	1.28061	1.47161	1.60102	1.72522	1.71061	1.66991	1.50292
8	2.84580	3.18144	3.82198	4.65398	5.81688	7.26578	8.66268	8.91559	8.26796	9.33395	9.46868	6.13360	5.95870	6.01070	6.17379	6.00124	5.21179	4.04652	3.07980	2.51962	2.22417
9	4.12014	4.77667	5.66081	7.41449	10.38204	15.43592	22.97005	31.80850	39.09461	40.02251	40.87747	45.21354	42.66909	36.48305	26.60289	17.10790	10.66800	6.84258	4.85254	3.59491	2.73411
10	6.68046	7.86014	9.48984	10.76564	11.17197	10.37241	7.58488	5.00707	3.44291	2.84433	2.87492	3.60020	5.99887	11.82298	22.10364	30.59294	33.18386	30.86383	26.25872	21.69731	18.01410
