State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.92901	0.92820	0.93550	0.94847	0.95212	0.96266	0.96549	0.96184	0.96428	0.95333	0.94117	0.93631	0.93063	0.91726	0.89942	0.89416	0.88483	0.87470	0.85930	0.85362	0.85646
2	0.65440	0.65703	0.65781	0.65796	0.65776	0.65542	0.65396	0.65581	0.65703	0.66265	0.67261	0.68232	0.69209	0.69643	0.70459	0.71264	0.71977	0.72817	0.73579	0.74384	0.75131
3	1.04556	1.03099	1.03099	1.02427	1.03324	1.05341	1.07470	1.08366	1.10384	1.08591	1.05005	1.05005	1.06573	1.09487	1.12849	1.13970	1.17107	1.18564	1.20581	1.22038	1.24280
4	3.48373	3.47863	3.48118	3.50259	3.50718	3.51891	3.51789	3.49291	3.45110	3.41796	3.40369	3.35015	3.30274	3.24767	3.17375	3.09829	3.00346	2.92546	2.85561	2.79800	2.72866
5	1.38663	1.40578	1.40578	1.37874	1.33706	1.29764	1.24582	1.22442	1.19063	1.17711	1.13206	1.12079	1.12868	1.11403	1.10615	1.05771	1.06560	1.05095	1.05658	1.04870	1.02730
6	2.01889	2.00740	2.01315	2.07920	2.07633	2.06197	2.11653	2.15674	2.21417	2.16823	2.11079	2.04761	1.92412	1.87243	1.87243	1.83509	1.77766	1.76330	1.68576	1.73745	1.77191
7	1.17536	1.17063	1.22975	1.18245	1.25340	1.28533	1.37283	1.34800	1.40003	1.43668	1.46506	1.44969	1.41658	1.47452	1.47570	1.47452	1.52300	1.54310	1.58212	1.54547	1.54429
8	1.83702	1.75669	1.59869	1.58530	1.62815	1.67367	1.57995	1.74865	1.78882	1.76472	1.68706	1.60673	1.56923	1.55317	1.56120	1.69242	1.67099	1.72991	1.70848	1.74062	1.66832
9	3.13068	3.10754	3.02159	2.96869	2.75381	2.67777	2.69430	2.57860	2.61496	2.59182	2.47942	2.55546	2.58851	2.65794	2.76703	2.80340	2.79348	2.73728	2.71414	2.68769	2.76373
10	3.66305	3.65810	3.62840	3.58385	3.60860	3.60860	3.55415	3.60365	3.47000	3.49970	3.42545	3.27694	3.08389	3.04924	2.86114	2.77699	2.86609	2.81164	2.83639	2.66314	2.50473
