State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	8.57775	0.57094	0.82064	0.91310	0.94127	0.77673	1.16523	1.62853
2	71.21030	0.28461	0.58896	0.80902	0.67268	0.34477	0.53155	1.09848
3	3.10251	0.55537	1.06803	0.79101	1.05015	0.49557	0.64763	0.91746
4	6.81943	0.60114	3.78330	2.18078	3.40302	0.41897	0.66564	0.27769
5	3.08659	0.40678	1.55291	2.28950	1.13105	0.43648	0.85420	0.14339
6	1.21066	0.28787	1.91918	2.24376	2.11101	0.78582	2.12849	0.12384
7	2.94033	0.84599	1.12213	1.07691	1.46521	1.62925	2.06673	0.47732
8	1.29835	10.29327	2.03648	1.02862	1.68724	9.46897	5.69609	0.52307
9	1.05170	46.53413	6.50537	1.33858	2.47968	40.87581	17.96458	0.27969
10	0.70238	3.72621	2.85492	2.18969	3.42580	2.87500	11.42586	0.13997
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
